Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
82,Dave Robisch\robisda01,PF,26,SDS,11,,34.0,5.5,12.2,.448,0.0,0.1,.000,5.5,12.1,.451,.448,5.5,6.4,.871,4.6,6.5,11.1,1.9,0.5,1.0,1.5,1.5,16.5
82,Dave Robisch\robisda01,C,26,INA,76,,31.8,4.9,11.8,.418,0.0,0.0,.000,4.9,11.8,.419,.418,3.5,4.1,.846,3.0,5.8,8.8,1.9,0.9,0.6,1.3,2.4,13.4
83,John Roche\rochejo01,PG,26,UTS,16,,30.3,7.0,13.3,.528,0.6,1.6,.346,6.4,11.6,.554,.550,1.9,2.6,.756,0.3,1.3,1.6,4.9,0.9,0.1,3.2,2.9,16.5
84,Harry Rogers\rogerha01,PF,25,SSL,18,,16.6,3.3,6.9,.484,0.0,0.1,.000,3.3,6.8,.492,.484,0.9,1.3,.708,2.1,3.2,5.3,0.8,0.7,0.3,1.2,1.9,7.6
85,Dan Roundfield\roundda01,PF,22,INA,67,,11.4,2.0,4.6,.424,0.0,0.0,.000,2.0,4.6,.427,.424,1.1,1.8,.631,2.0,1.9,3.9,0.5,0.5,0.6,1.0,2.4,5.1
86,Paul Ruffner\ruffnpa01,C,27,SSL,2,,2.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0
87,Billy Schaeffer\schaebi01,SF,24,TOT,51,,12.5,2.2,5.1,.442,0.0,0.2,.200,2.2,4.9,.452,.446,0.9,1.2,.762,0.8,1.4,2.2,0.7,0.4,0.2,0.7,1.4,5.5
87,Billy Schaeffer\schaebi01,SF,24,NYA,20,,6.0,1.6,3.9,.403,0.1,0.5,.222,1.5,3.4,.426,.416,0.4,0.5,.889,0.5,0.6,1.1,0.5,0.3,0.1,0.4,0.8,3.6
87,Billy Schaeffer\schaebi01,SF,24,VIR,31,,16.7,2.7,5.8,.459,0.0,0.0,.000,2.7,5.8,.461,.459,1.3,1.7,.741,0.9,1.9,2.9,0.9,0.4,0.2,0.9,1.8,6.6
88,James Silas\silasja01,PG,26,SAA,84,,37.0,8.5,16.5,.519,0.0,0.0,.000,8.5,16.5,.520,.519,6.7,7.7,.872,1.3,2.7,4.0,5.4,1.8,0.3,3.0,3.1,23.8
